episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,custom_metrics/success_rate_mean,custom_metrics/success_rate_min,custom_metrics/success_rate_max,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-33.53734668259882,-63.46659493666343,-49.006861109957015,100.0,56,5600,False,5600,56,1,29c9ae37918a4b988b84260e36659668,2020-03-20_16-07-39,1584720459,18.929255485534668,18.929255485534668,14080,eclipse,137.195.211.213,18.929255485534668,5600,1,28,d9ec83cc,0.0,0.0,0.0,9.019479102586802,0.8382724376968567,1.4016452882843993,5504,5600,10083.296,78.418,7951.113,673.144,0.20000000298023224,4.999999873689376e-05,159.2386932373047,-0.02611665055155754,159.26170349121094,0.01654401794075966,0.015582612715661526,5.64408540725708,0.0
-33.53734668259882,-63.46659493666343,-47.888915567175864,100.0,56,5600,False,11200,112,2,29c9ae37918a4b988b84260e36659668,2020-03-20_16-07-49,1584720469,10.198102712631226,29.127358198165894,14080,eclipse,137.195.211.213,29.127358198165894,11200,2,28,d9ec83cc,0.0,0.0,0.0,9.367858667624851,0.8837994762931846,1.430521534092099,11008,11200,6388.509,42.197,7674.212,346.717,0.20000000298023224,4.999999873689376e-05,75.2161636352539,-0.026154451072216034,75.23877716064453,0.019234351813793182,0.017733221873641014,5.648956775665283,0.0
-37.99904634897103,-61.87270960003862,-47.60908874703219,100.0,56,5600,False,16800,168,3,29c9ae37918a4b988b84260e36659668,2020-03-20_16-07-59,1584720479,10.070300579071045,39.19765877723694,14080,eclipse,137.195.211.213,39.19765877723694,16800,3,28,d9ec83cc,0.0,0.0,0.0,9.79681974167623,0.9398729110330862,1.476899789827299,16512,16800,5211.01,29.793,7491.323,237.942,0.20000000298023224,4.999999873689376e-05,46.43681716918945,-0.018834294751286507,46.45262145996094,0.4083106815814972,0.015155011788010597,5.656805515289307,0.0
-35.30908009780138,-59.13597159674002,-46.173546320121346,100.0,56,5600,False,22400,224,4,29c9ae37918a4b988b84260e36659668,2020-03-20_16-08-10,1584720490,10.276966094970703,49.47462487220764,14080,eclipse,137.195.211.213,49.47462487220764,22400,4,28,d9ec83cc,0.0,0.0,0.0,10.010257650925448,0.9643947691729035,1.5056266335289004,22016,22400,4620.525,24.72,7443.844,183.993,0.20000000298023224,4.999999873689376e-05,24.64421844482422,-0.03489255905151367,24.674503326416016,0.661001980304718,0.02302330918610096,5.6644110679626465,0.0
-37.78339199933166,-58.113640778414094,-46.05396059388493,100.0,56,5600,False,28000,280,5,29c9ae37918a4b988b84260e36659668,2020-03-20_16-08-20,1584720500,9.950047731399536,59.42467260360718,14080,eclipse,137.195.211.213,59.42467260360718,28000,5,28,d9ec83cc,0.0,0.0,0.0,10.117390319095973,0.9785693851729625,1.5195558685769766,27520,28000,4244.07,20.807,7376.247,149.899,0.30000001192092896,4.999999873689376e-05,26.412004470825195,-0.02359250746667385,26.43191909790039,0.6371140480041504,0.012246103025972843,5.669275760650635,0.0
-33.15424393258961,-56.553915980881314,-44.7691393703958,100.0,56,5600,False,33600,336,6,29c9ae37918a4b988b84260e36659668,2020-03-20_16-08-30,1584720510,10.376161575317383,69.80083417892456,14080,eclipse,137.195.211.213,69.80083417892456,33600,6,28,d9ec83cc,0.0,0.0,0.0,10.193472806015627,0.9823827319819045,1.5291477467191315,33024,33600,4014.1,18.321,7382.897,127.861,0.30000001192092896,4.999999873689376e-05,19.547256469726562,-0.022424710914492607,19.56624984741211,0.7169599533081055,0.011442865245044231,5.655350208282471,0.0
-33.15424393258961,-67.5910564006996,-44.07755043615193,100.0,56,5600,False,39200,392,7,29c9ae37918a4b988b84260e36659668,2020-03-20_16-08-40,1584720520,10.18210244178772,79.98293662071228,14080,eclipse,137.195.211.213,79.98293662071228,39200,7,28,d9ec83cc,0.0,0.0,0.0,10.235074279661571,0.9851025033193566,1.5342155133607704,38528,39200,3826.305,16.965,7381.152,112.179,0.30000001192092896,4.999999873689376e-05,23.876867294311523,-0.025933992117643356,23.89851188659668,0.6523705124855042,0.014301478862762451,5.661489963531494,0.0
-37.135372446924194,-67.5910564006996,-43.70359905354903,100.0,56,5600,False,44800,448,8,29c9ae37918a4b988b84260e36659668,2020-03-20_16-08-50,1584720530,10.065554857254028,90.04849147796631,14080,eclipse,137.195.211.213,90.04849147796631,44800,8,28,d9ec83cc,0.0,0.0,0.0,10.237265522115024,0.9883713190639781,1.5336831134976818,44032,44800,3680.12,16.111,7372.587,100.853,0.30000001192092896,4.999999873689376e-05,15.594658851623535,-0.022448770701885223,15.613540649414062,0.7567543387413025,0.011885960586369038,5.617278099060059,0.0
-36.02835546116477,-53.794081683249665,-42.30410469082384,100.0,56,5600,False,50400,504,9,29c9ae37918a4b988b84260e36659668,2020-03-20_16-09-01,1584720541,10.220243692398071,100.26873517036438,14080,eclipse,137.195.211.213,100.26873517036438,50400,9,28,d9ec83cc,0.0,0.0,0.0,10.23792970178614,0.9902761961953377,1.5324744378408566,49536,50400,3577.548,15.062,7372.158,90.871,0.30000001192092896,4.999999873689376e-05,11.007125854492188,-0.02558758109807968,11.0288724899292,0.8197627663612366,0.012801525183022022,5.6039605140686035,0.0
-35.88426395845876,-53.794081683249665,-40.96984744232187,100.0,56,5600,False,56000,560,10,29c9ae37918a4b988b84260e36659668,2020-03-20_16-09-11,1584720551,10.172109842300415,110.4408450126648,14080,eclipse,137.195.211.213,110.4408450126648,56000,10,28,d9ec83cc,0.0,0.0,0.0,10.24433854296757,0.992413842364791,1.5336085040982343,55040,56000,3492.934,14.356,7370.211,82.956,0.30000001192092896,4.999999873689376e-05,13.052033424377441,-0.014919433742761612,13.063680648803711,0.766152024269104,0.010900872759521008,5.581814765930176,0.0
-35.35141318093961,-53.478703667135136,-39.7561694953948,100.0,56,5600,False,61600,616,11,29c9ae37918a4b988b84260e36659668,2020-03-20_16-09-21,1584720561,10.188729524612427,120.62957453727722,14080,eclipse,137.195.211.213,120.62957453727722,61600,11,28,d9ec83cc,0.0,0.0,0.0,10.247109965806114,0.9938269757550807,1.5340424971577813,60544,61600,2756.816,7.057,7311.678,17.664,0.30000001192092896,4.999999873689376e-05,10.087403297424316,-0.017994286492466927,10.101969718933105,0.8054731488227844,0.011426178738474846,5.559866905212402,0.0
-34.23985138266701,-43.03865112929143,-38.56335086431841,100.0,56,5600,False,67200,672,12,29c9ae37918a4b988b84260e36659668,2020-03-20_16-09-31,1584720571,10.082598209381104,130.71217274665833,14080,eclipse,137.195.211.213,130.71217274665833,67200,12,28,d9ec83cc,0.0,0.0,0.0,10.245041116015972,0.993947507715945,1.5315501707232166,66048,67200,2751.716,7.215,7306.109,18.108,0.30000001192092896,4.999999873689376e-05,9.074341773986816,-0.016262013465166092,9.086932182312012,0.823420524597168,0.012235063128173351,5.537780284881592,0.0
-32.77310323070183,-43.03865112929143,-38.111470043528065,100.0,56,5600,False,72800,728,13,29c9ae37918a4b988b84260e36659668,2020-03-20_16-09-42,1584720582,10.162076711654663,140.874249458313,14080,eclipse,137.195.211.213,140.874249458313,72800,13,28,d9ec83cc,0.0,0.0,0.0,10.246918563388785,0.9948013349461607,1.5312099053273756,71552,72800,2740.41,7.333,7326.273,17.55,0.30000001192092896,4.999999873689376e-05,8.420223236083984,-0.018803682178258896,8.435578346252441,0.8292164206504822,0.011491659097373486,5.520103454589844,0.0
-31.589483820430967,-41.87361769646182,-36.81901008007273,100.0,56,5600,False,78400,784,14,29c9ae37918a4b988b84260e36659668,2020-03-20_16-09-52,1584720592,10.10338544845581,150.9776349067688,14080,eclipse,137.195.211.213,150.9776349067688,78400,14,28,d9ec83cc,0.0,0.0,0.0,10.249978347328714,0.9957556760126878,1.5302335132867624,77056,78400,2721.589,6.987,7329.945,17.188,0.30000001192092896,4.999999873689376e-05,6.541175365447998,-0.02146441861987114,6.558468818664551,0.8579219579696655,0.013899154029786587,5.458308219909668,0.0
-31.589483820430967,-40.4031756767372,-35.701704578392714,100.0,56,5600,False,84000,840,15,29c9ae37918a4b988b84260e36659668,2020-03-20_16-10-02,1584720602,9.842732429504395,160.8203673362732,14080,eclipse,137.195.211.213,160.8203673362732,84000,15,28,d9ec83cc,0.0,0.0,0.0,10.252111316696373,0.9966602510762524,1.5271092662242955,82560,84000,2713.04,7.069,7330.238,18.03,0.30000001192092896,4.999999873689376e-05,6.040420055389404,-0.0158416535705328,6.052943229675293,0.8670216798782349,0.01106303557753563,5.439228534698486,0.0
-28.426038517981976,-79.68231180672765,-35.87756433394942,100.0,56,5600,False,89600,896,16,29c9ae37918a4b988b84260e36659668,2020-03-20_16-10-12,1584720612,9.996355533599854,170.81672286987305,14080,eclipse,137.195.211.213,170.81672286987305,89600,16,28,d9ec83cc,0.0,0.0,0.0,10.266141266729162,0.9991160840660004,1.5297898152108405,88064,89600,2707.693,7.006,7299.775,17.425,0.30000001192092896,4.999999873689376e-05,22.249048233032227,-0.019504735246300697,22.264406204223633,0.6331579685211182,0.013824597001075745,5.438848972320557,0.0
-28.426038517981976,-79.68231180672765,-35.813390684446155,100.0,56,5600,False,95200,952,17,29c9ae37918a4b988b84260e36659668,2020-03-20_16-10-22,1584720622,10.048316955566406,180.86503982543945,14080,eclipse,137.195.211.213,180.86503982543945,95200,17,28,d9ec83cc,0.0,0.0,0.0,10.274971524091493,1.0009362083657873,1.533150741384403,93568,95200,2703.187,6.726,7293.318,17.719,0.30000001192092896,4.999999873689376e-05,6.060628414154053,-0.025121649727225304,6.0805983543396,0.8653173446655273,0.017170706763863564,5.402475833892822,0.0
-30.57862721520683,-39.79257063245005,-34.6475045462859,100.0,56,5600,False,100800,1008,18,29c9ae37918a4b988b84260e36659668,2020-03-20_16-10-32,1584720632,10.190917730331421,191.05595755577087,14080,eclipse,137.195.211.213,191.05595755577087,100800,18,28,d9ec83cc,0.0,0.0,0.0,10.273515548226621,1.0012851360278092,1.5329356340728904,99072,100800,2702.416,6.628,7304.745,17.776,0.30000001192092896,4.999999873689376e-05,6.819093227386475,-0.019851861521601677,6.835376739501953,0.8353126645088196,0.011892558075487614,5.383087158203125,0.0
-29.504523146768044,-38.79023750469639,-34.118419727264616,100.0,56,5600,False,106400,1064,19,29c9ae37918a4b988b84260e36659668,2020-03-20_16-10-42,1584720642,10.227844715118408,201.28380227088928,14080,eclipse,137.195.211.213,201.28380227088928,106400,19,28,d9ec83cc,0.0,0.0,0.0,10.27492394223887,1.0017984452505484,1.5327512636181353,104576,106400,2705.796,6.678,7303.458,18.459,0.30000001192092896,4.999999873689376e-05,6.070368766784668,-0.019174212589859962,6.085912704467773,0.8531822562217712,0.012101922184228897,5.377439022064209,0.0
-26.784591277023697,-38.896990211673454,-33.47206216099908,100.0,56,5600,False,112000,1120,20,29c9ae37918a4b988b84260e36659668,2020-03-20_16-10-52,1584720652,10.199921131134033,211.48372340202332,14080,eclipse,137.195.211.213,211.48372340202332,112000,20,28,d9ec83cc,0.0,0.0,0.0,10.281337835068282,1.0029999255148458,1.5335693960101735,110080,112000,2707.143,6.493,7304.926,19.336,0.30000001192092896,4.999999873689376e-05,8.794428825378418,-0.016103405505418777,8.806652069091797,0.7760587930679321,0.012930483557283878,5.35696268081665,0.0
-22.923943009858622,-38.896990211673454,-32.95184310068361,100.0,56,5600,False,117600,1176,21,29c9ae37918a4b988b84260e36659668,2020-03-20_16-11-03,1584720663,10.075440645217896,221.5591640472412,14080,eclipse,137.195.211.213,221.5591640472412,117600,21,28,d9ec83cc,0.0,0.0,0.0,10.283057765013805,1.0035566648923393,1.5326870309349885,115584,117600,2698.407,6.524,7304.224,19.389,0.30000001192092896,4.999999873689376e-05,8.62633991241455,-0.012261210940778255,8.635683059692383,0.7768932580947876,0.009728588163852692,5.34785270690918,0.0
-25.44982944582482,-38.18569125350542,-32.72274810713079,100.0,56,5600,False,123200,1232,22,29c9ae37918a4b988b84260e36659668,2020-03-20_16-11-13,1584720673,10.189653635025024,231.74881768226624,14080,eclipse,137.195.211.213,231.74881768226624,123200,22,28,d9ec83cc,0.0,0.0,0.0,10.28638097190018,1.0033845448985814,1.531695506871761,121088,123200,2707.709,6.561,7307.78,18.36,0.30000001192092896,4.999999873689376e-05,7.997641086578369,-0.015018227510154247,8.009090423583984,0.7890721559524536,0.011893735267221928,5.368159294128418,0.0
-22.980613427550807,-36.80923992626905,-32.0677297991033,100.0,56,5600,False,128800,1288,23,29c9ae37918a4b988b84260e36659668,2020-03-20_16-11-23,1584720683,10.197373628616333,241.94619131088257,14080,eclipse,137.195.211.213,241.94619131088257,128800,23,28,d9ec83cc,0.0,0.0,0.0,10.292097596637017,1.0036746445980773,1.532187868689368,126592,128800,2708.902,6.466,7308.922,18.941,0.30000001192092896,4.999999873689376e-05,8.603259086608887,-0.020720483735203743,8.620742797851562,0.7644293308258057,0.010793386027216911,5.333752155303955,0.0
-22.980613427550807,-36.727842091030006,-31.94433740406232,100.0,56,5600,False,134400,1344,24,29c9ae37918a4b988b84260e36659668,2020-03-20_16-11-33,1584720693,10.083770513534546,252.02996182441711,14080,eclipse,137.195.211.213,252.02996182441711,134400,24,28,d9ec83cc,0.0,0.0,0.0,10.294308412849693,1.0040685521769281,1.5322838637158462,132096,134400,2708.897,6.396,7307.853,18.972,0.30000001192092896,4.999999873689376e-05,8.716107368469238,-0.012666803784668446,8.725691795349121,0.7554012537002563,0.010274389758706093,5.329988479614258,0.0
-23.549038679105383,-37.07496495010243,-31.718571045983666,100.0,56,5600,False,140000,1400,25,29c9ae37918a4b988b84260e36659668,2020-03-20_16-11-43,1584720703,10.255743741989136,262.28570556640625,14080,eclipse,137.195.211.213,262.28570556640625,140000,25,28,d9ec83cc,0.0,0.0,0.0,10.294888359864958,1.0040231447698489,1.531642907153547,137600,140000,2715.065,6.537,7341.219,18.913,0.30000001192092896,4.999999873689376e-05,8.015191078186035,-0.015971560031175613,8.02721881866455,0.775299608707428,0.013145186007022858,5.275554180145264,0.0
-21.367600768437164,-37.07496495010243,-31.78290243993167,100.0,56,5600,False,145600,1456,26,29c9ae37918a4b988b84260e36659668,2020-03-20_16-11-54,1584720714,10.076654434204102,272.36236000061035,14080,eclipse,137.195.211.213,272.36236000061035,145600,26,28,d9ec83cc,0.0,0.0,0.0,10.29551779402256,1.0040521306423862,1.5311734065799112,143104,145600,2702.65,6.523,7359.626,18.997,0.30000001192092896,4.999999873689376e-05,9.079166412353516,-0.016619620844721794,9.092338562011719,0.7435018420219421,0.011496730148792267,5.27472448348999,0.0
-21.367600768437164,-35.916201271677714,-31.2590042398742,100.0,56,5600,False,151200,1512,27,29c9ae37918a4b988b84260e36659668,2020-03-20_16-12-04,1584720724,10.184509038925171,282.5468690395355,14080,eclipse,137.195.211.213,282.5468690395355,151200,27,28,d9ec83cc,0.0,0.0,0.0,10.295423709294903,1.0040055750858032,1.530569024288003,148608,151200,2711.917,6.485,7364.875,19.125,0.30000001192092896,4.999999873689376e-05,8.651570320129395,-0.010055755265057087,8.658390045166016,0.7399240732192993,0.010784824378788471,5.264411449432373,0.0
