episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,custom_metrics/success_rate_mean,custom_metrics/success_rate_min,custom_metrics/success_rate_max,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-33.19325168839136,-877.9215971525603,-59.89001283445169,100.0,56,5600,False,5600,56,1,d939a77328534bb0884b1bf1beb29fb0,2020-04-01_16-02-20,1585753340,19.189720630645752,19.189720630645752,25342,eclipse,137.195.211.213,19.189720630645752,5600,1,28,b6c0577a,0.0,0.0,0.0,10.21084911702962,0.8616710098906452,1.4402941769543656,5504,5600,10844.929,74.274,7504.193,638.383,0.20000000298023224,4.999999873689376e-05,3257.109375,-0.025266841053962708,3257.13037109375,0.00018702828674577177,0.018105601891875267,5.672355651855469,0.0
-33.19325168839136,-877.9215971525603,-53.44794419488765,100.0,56,5600,False,11200,112,2,d939a77328534bb0884b1bf1beb29fb0,2020-04-01_16-02-30,1585753350,10.26346731185913,29.453187942504883,25342,eclipse,137.195.211.213,29.453187942504883,11200,2,28,b6c0577a,0.0,0.0,0.0,10.566620513586228,0.9004400085896185,1.4449970354310762,11008,11200,6953.644,40.308,7298.962,327.054,0.20000000298023224,4.999999873689376e-05,112.06310272216797,-0.02373122051358223,112.08363342285156,0.004640257451683283,0.01598794013261795,5.655270576477051,0.0
-31.792119386308364,-114.0548249716961,-44.97399649085444,100.0,56,5600,False,16800,168,3,d939a77328534bb0884b1bf1beb29fb0,2020-04-01_16-02-40,1585753360,10.124943494796753,39.578131437301636,25342,eclipse,137.195.211.213,39.578131437301636,16800,3,28,b6c0577a,0.0,0.0,0.0,11.00605882067251,0.933603647005003,1.462814731984038,16512,16800,5626.559,29.253,7214.485,224.992,0.20000000298023224,4.999999873689376e-05,69.23920440673828,-0.021207595244050026,69.25822448730469,0.08757542818784714,0.011005486361682415,5.687399387359619,0.0
-31.792119386308364,-61.03188837182036,-45.03179883896216,100.0,56,5600,False,22400,224,4,d939a77328534bb0884b1bf1beb29fb0,2020-04-01_16-02-51,1585753371,10.555735111236572,50.13386654853821,25342,eclipse,137.195.211.213,50.13386654853821,22400,4,28,b6c0577a,0.0,0.0,0.0,11.257224861723053,0.9568440209523125,1.4943093713568145,22016,22400,5049.513,23.923,7193.347,173.908,0.20000000298023224,4.999999873689376e-05,56.66144561767578,-0.02750314585864544,56.68527603149414,0.2810478210449219,0.01837514527142048,5.683377265930176,0.0
-33.25890883379589,-69.48319731327663,-44.89414957901827,100.0,56,5600,False,28000,280,5,d939a77328534bb0884b1bf1beb29fb0,2020-04-01_16-03-01,1585753381,10.276238441467285,60.41010499000549,25342,eclipse,137.195.211.213,60.41010499000549,28000,5,28,b6c0577a,0.0,0.0,0.0,11.387103718165458,0.9674521055955912,1.5126042888829345,27520,28000,4655.994,20.449,7172.588,143.124,0.20000000298023224,4.999999873689376e-05,40.60137939453125,-0.027018757537007332,40.62519073486328,0.46122369170188904,0.016008414328098297,5.6886186599731445,0.0
-33.25890883379589,-841.8035781708702,-51.52224312489052,100.0,56,5600,False,33600,336,6,d939a77328534bb0884b1bf1beb29fb0,2020-04-01_16-03-12,1585753392,10.49426531791687,70.90437030792236,25342,eclipse,137.195.211.213,70.90437030792236,33600,6,28,b6c0577a,0.0,0.0,0.0,11.421763004840527,0.9681627426762915,1.5092265414678168,33024,33600,4385.469,18.526,7204.972,122.583,0.20000000298023224,4.999999873689376e-05,2648.01904296875,-0.026075216010212898,2648.0419921875,0.088469959795475,0.016420667991042137,5.669337272644043,0.0
-32.17494287443455,-971.6456265578779,-59.75746569949966,100.0,56,5600,False,39200,392,7,d939a77328534bb0884b1bf1beb29fb0,2020-04-01_16-03-22,1585753402,10.453052043914795,81.35742235183716,25342,eclipse,137.195.211.213,81.35742235183716,39200,7,28,b6c0577a,0.0,0.0,0.0,11.435822625386276,0.9692409790936235,1.4994214536644928,38528,39200,4168.453,16.763,7244.247,107.954,0.20000000298023224,4.999999873689376e-05,2972.645263671875,-0.024470467120409012,2972.666015625,0.15779052674770355,0.01728513278067112,5.687607765197754,0.0
-31.403798073779075,-60.9163712767464,-41.76057751269332,100.0,56,5600,False,44800,448,8,d939a77328534bb0884b1bf1beb29fb0,2020-04-01_16-03-33,1585753413,10.487141370773315,91.84456372261047,25342,eclipse,137.195.211.213,91.84456372261047,44800,8,28,b6c0577a,0.0,0.0,0.0,11.430567239890829,0.969025562611235,1.4861194262506006,44032,44800,4002.629,15.568,7281.8,97.201,0.20000000298023224,4.999999873689376e-05,34.69961166381836,-0.027836894616484642,34.72432327270508,0.46248164772987366,0.0155924241989851,5.709023952484131,0.0
-31.403798073779075,-59.52144607347475,-42.473008355349236,100.0,56,5600,False,50400,504,9,d939a77328534bb0884b1bf1beb29fb0,2020-04-01_16-03-43,1585753423,10.330689430236816,102.17525315284729,25342,eclipse,137.195.211.213,102.17525315284729,50400,9,28,b6c0577a,0.0,0.0,0.0,11.410138322706503,0.9683230091084692,1.476346870943852,49536,50400,3873.82,14.996,7294.983,87.985,0.20000000298023224,4.999999873689376e-05,33.53448486328125,-0.021828286349773407,33.55331802368164,0.5019897222518921,0.014958069659769535,5.670091152191162,0.0
-35.64910034910721,-63.418554394449245,-42.5716094943599,100.0,56,5600,False,56000,560,10,d939a77328534bb0884b1bf1beb29fb0,2020-04-01_16-03-53,1585753433,10.365936994552612,112.5411901473999,25342,eclipse,137.195.211.213,112.5411901473999,56000,10,28,b6c0577a,0.0,0.0,0.0,11.398290147462362,0.9677945413175781,1.468001583230985,55040,56000,3772.457,14.282,7305.48,81.044,0.20000000298023224,4.999999873689376e-05,35.93108367919922,-0.023372160270810127,35.95208740234375,0.4637548327445984,0.011834053322672844,5.691932201385498,0.0
